iter	Logloss
0	0.6862833515
1	0.6795321111
2	0.673568938
3	0.6669947365
4	0.6623508488
5	0.6567435194
6	0.6507680577
7	0.6450411608
8	0.6401578477
9	0.6348483201
10	0.6297160887
11	0.6245935533
12	0.6194851769
13	0.6145786479
14	0.6101907343
15	0.6055023075
16	0.6008278535
17	0.5970197053
18	0.5929769418
19	0.5885907869
20	0.583866395
21	0.5799712117
22	0.5763197539
23	0.5725385906
24	0.5687246479
25	0.5651125819
26	0.5618536604
27	0.5586057069
28	0.5554309116
29	0.5520748064
30	0.5490257079
31	0.5465955801
32	0.5436995029
33	0.5409063991
34	0.5380178733
35	0.5351503433
36	0.5321542238
37	0.5292362009
38	0.5265047813
39	0.524079805
40	0.5215927979
41	0.5196670959
42	0.5172946589
43	0.5150671537
44	0.5129466299
45	0.5105763905
46	0.5084166349
47	0.5064177647
48	0.5041665011
49	0.5022536467
50	0.5012480494
51	0.4994032248
52	0.4975663902
53	0.4956342177
54	0.4938967931
55	0.4920938388
56	0.4904080081
57	0.4886933915
58	0.487091835
59	0.4853735512
60	0.4839112908
61	0.4823327542
62	0.4807423713
63	0.4794035874
64	0.4778726203
65	0.4763255109
66	0.4751529929
67	0.4737955144
68	0.472757959
69	0.471726471
70	0.4703199932
71	0.4692909105
72	0.468001504
73	0.4670073374
74	0.4658489286
75	0.4646718842
76	0.463530962
77	0.462191797
78	0.4611078502
79	0.4601478437
80	0.4588596315
81	0.4578333767
82	0.4568361081
83	0.4560411488
84	0.455090912
85	0.4539274707
86	0.4528352272
87	0.4524158723
88	0.4514999797
89	0.4505363468
90	0.4496117933
91	0.4487458959
92	0.4480561043
93	0.4474621233
94	0.4467369957
95	0.4457946519
96	0.4454565375
97	0.4447415581
98	0.4439882424
99	0.4432053931
100	0.4427866893
101	0.4419703816
102	0.4413523987
103	0.440494928
104	0.4395990264
105	0.4386577573
106	0.4378727045
107	0.4374887786
108	0.437004793
109	0.4364185997
110	0.4360794187
111	0.4353406779
112	0.4348900763
113	0.4346739208
114	0.4342552688
115	0.4335232397
116	0.4328294252
117	0.4322037471
118	0.4318718084
119	0.4313533977
120	0.4306171802
121	0.4300365832
122	0.4295516246
123	0.4287977735
124	0.4282468828
125	0.4276993219
126	0.4271964275
127	0.4270357824
128	0.426549201
129	0.4259464201
130	0.42550209
131	0.4250284976
132	0.4244932311
133	0.4239020938
134	0.4235155812
135	0.4231532593
136	0.4227116148
137	0.422204647
138	0.4217930087
139	0.4215590591
140	0.4211612487
141	0.4206519619
142	0.4201338629
143	0.4197404129
144	0.419503278
145	0.4191735173
146	0.4188451785
147	0.4184675891
148	0.4179846124
149	0.4174534128
150	0.4172059593
151	0.4168560204
152	0.4166187947
153	0.4164088302
154	0.4160537251
155	0.4156328265
156	0.4152904702
157	0.4148717258
158	0.4147564544
159	0.4144870979
160	0.4140845013
161	0.4136330709
162	0.4134548639
163	0.4131255545
164	0.4130116229
165	0.4126177952
166	0.4121647407
167	0.4118830907
168	0.4113489421
169	0.411066947
170	0.4106605289
171	0.4104623341
172	0.4103043045
173	0.4098613925
174	0.4095026584
175	0.4094449352
176	0.4090204613
177	0.408704808
178	0.4083303895
179	0.4080037412
180	0.4075831403
181	0.4075033795
182	0.4074206538
183	0.407184691
184	0.4068443434
185	0.4065257741
186	0.4063196691
187	0.405939623
188	0.4058863338
189	0.405540684
190	0.4054866053
191	0.4052214835
192	0.4049461029
193	0.4048967768
194	0.4045757067
195	0.4042340626
196	0.4040792193
197	0.4039990097
198	0.4036357729
199	0.4033108831
