iter	Passed	Remaining
0	5	1094
1	11	1111
2	15	1027
3	19	975
4	22	884
5	27	889
6	32	908
7	38	916
8	40	865
9	44	837
10	48	838
11	52	820
12	57	821
13	61	814
14	64	789
15	68	788
16	73	794
17	76	771
18	80	767
19	86	778
20	92	788
21	97	786
22	102	792
23	108	795
24	113	795
25	118	793
26	124	795
27	129	792
28	133	784
29	138	787
30	144	786
31	146	771
32	151	765
33	155	759
34	161	760
35	166	756
36	170	753
37	175	749
38	180	745
39	185	741
40	190	737
41	193	726
42	197	720
43	200	711
44	206	710
45	211	707
46	215	702
47	220	699
48	227	699
49	232	696
50	234	684
51	238	679
52	244	677
53	249	675
54	255	672
55	260	669
56	266	668
57	271	665
58	276	660
59	281	657
60	285	651
61	292	650
62	298	648
63	301	640
64	306	636
65	311	633
66	316	628
67	322	625
68	326	619
69	329	611
70	335	609
71	338	601
72	343	597
73	348	594
74	353	589
75	359	585
76	364	581
77	369	578
78	375	574
79	379	569
80	384	564
81	391	562
82	396	559
83	400	553
84	406	549
85	411	545
86	417	541
87	419	534
88	424	529
89	431	527
90	436	523
91	441	518
92	446	513
93	449	506
94	453	501
95	459	497
96	461	489
97	464	483
98	469	478
99	474	474
100	477	467
101	482	463
102	487	459
103	493	455
104	499	452
105	505	447
106	510	444
107	513	437
108	517	432
109	522	427
110	525	421
111	530	417
112	536	412
113	537	405
114	542	401
115	548	396
116	553	392
117	558	388
118	562	382
119	566	377
120	572	373
121	578	369
122	583	365
123	589	361
124	594	356
125	599	352
126	605	347
127	607	341
128	613	337
129	619	333
130	625	329
131	630	324
132	635	320
133	641	315
134	646	311
135	650	306
136	655	301
137	661	297
138	665	292
139	668	286
140	674	282
141	679	277
142	684	272
143	689	268
144	694	263
145	700	259
146	705	254
147	711	250
148	716	245
149	721	240
150	725	235
151	729	230
152	733	225
153	737	220
154	742	215
155	747	210
156	752	205
157	757	201
158	759	195
159	765	191
160	771	186
161	776	182
162	779	176
163	785	172
164	788	167
165	793	162
166	797	157
167	803	153
168	809	148
169	814	143
170	819	139
171	822	133
172	827	129
173	834	124
174	839	119
175	841	114
176	847	110
177	853	105
178	859	100
179	864	96
180	869	91
181	873	86
182	876	81
183	881	76
184	887	71
185	892	67
186	897	62
187	902	57
188	904	52
189	910	47
190	912	43
191	918	38
192	924	33
193	927	28
194	932	23
195	938	19
196	943	14
197	945	9
198	950	4
199	956	0
